PU_APPT_YEAR,PU_APPT_MONTH,ORIGIN_COUNTRY,ORIGIN_STATE,MONTHLY_DISTANCE_TRAVELLED
2019,1,Canada,BC,918.4
2019,1,Canada,ON,57022.2
2019,1,Canada,QC,9273.3
2019,1,United States,AL,36390.1
2019,1,United States,AR,21860.1
2019,1,United States,AZ,468260.6
2019,1,United States,CA,714027.06
2019,1,United States,CO,325375.4
2019,1,United States,CT,33747.9
2019,1,United States,DC,286.7
2019,1,United States,DE,1329.6
2019,1,United States,FL,121943.51
2019,1,United States,GA,617731.56
2019,1,United States,IA,27203.0
2019,1,United States,ID,11420.899
2019,1,United States,IL,58130.4
2019,1,United States,IN,439494.2
2019,1,United States,KS,246740.61
2019,1,United States,KY,34703.6
2019,1,United States,LA,20212.4
2019,1,United States,MA,32958.06
2019,1,United States,MD,237978.5
2019,1,United States,ME,9071.4
2019,1,United States,MI,113832.96
2019,1,United States,MN,34001.0
2019,1,United States,MO,197654.45
2019,1,United States,MS,83923.9
2019,1,United States,MT,15394.7
2019,1,United States,NC,149246.5
2019,1,United States,ND,3657.0
2019,1,United States,NE,7430.4
2019,1,United States,NH,2876.6
2019,1,United States,NJ,99420.7
2019,1,United States,NM,302423.3
2019,1,United States,NV,547655.4
2019,1,United States,NY,98230.8
2019,1,United States,OH,298490.4
2019,1,United States,OK,39930.09
2019,1,United States,OR,37024.4
2019,1,United States,PA,732287.7
2019,1,United States,RI,159.1
2019,1,United States,SC,260492.69
2019,1,United States,SD,3943.0
2019,1,United States,TN,1141279.5
2019,1,United States,TX,464465.0
2019,1,United States,UT,36547.31
2019,1,United States,VA,305169.47
2019,1,United States,VT,3808.7
2019,1,United States,WA,807809.75
2019,1,United States,WI,121741.24
2019,1,United States,WV,219475.2
2019,1,United States,WY,3477.9001
2019,2,Canada,BC,1007.0
2019,2,Canada,MB,2979.6
2019,2,Canada,ON,52064.0
2019,2,Canada,QC,30547.35
2019,2,United States,AK,3654.0
2019,2,United States,AL,27685.4
2019,2,United States,AR,31547.299
2019,2,United States,AZ,479128.9
2019,2,United States,CA,1020115.5
2019,2,United States,CO,385320.0
2019,2,United States,CT,31506.3
2019,2,United States,DC,136.20001
2019,2,United States,DE,1101.4
2019,2,United States,FL,197867.3
2019,2,United States,GA,586473.9
2019,2,United States,IA,34247.33
2019,2,United States,ID,19023.8
2019,2,United States,IL,75196.32
2019,2,United States,IN,489648.8
2019,2,United States,KS,245349.81
2019,2,United States,KY,45378.6
2019,2,United States,LA,27792.5
2019,2,United States,MA,42258.66
2019,2,United States,MD,231741.6
2019,2,United States,ME,5436.4
2019,2,United States,MI,94111.24
2019,2,United States,MN,82614.3
2019,2,United States,MO,169422.73
2019,2,United States,MS,52743.7
2019,2,United States,MT,15553.9
2019,2,United States,NC,170913.08
2019,2,United States,ND,8537.2
2019,2,United States,NE,9335.2
2019,2,United States,NH,209.3
2019,2,United States,NJ,112888.6
2019,2,United States,NM,393229.0
2019,2,United States,NV,381824.53
2019,2,United States,NY,106570.94
2019,2,United States,OH,343766.9
2019,2,United States,OK,56530.9
2019,2,United States,OR,38113.12
2019,2,United States,PA,766963.9
2019,2,United States,RI,228.4
2019,2,United States,SC,288597.62
2019,2,United States,SD,8689.6
2019,2,United States,TN,1073983.5
2019,2,United States,TX,483585.34
2019,2,United States,UT,52956.31
2019,2,United States,VA,263021.34
2019,2,United States,VT,8974.0
2019,2,United States,WA,705805.6
2019,2,United States,WI,137949.0
2019,2,United States,WV,191294.2
2019,2,United States,WY,693.7
2019,3,Canada,BC,918.4
2019,3,Canada,ON,66433.8
2019,3,Canada,QC,16366.25
