ORIGIN_STATE,DEST_STATE,DISTANCE,ORIGIN_LAT,ORIGIN_LNG,DEST_LAT,DEST_LNG
AB,AB,106.464325,51.28694053940521,-114.00888255018589,52.39828867382899,-113.86565853814126
AB,BC,551.5232,51.28919438250951,-114.00870596577947,49.43527365741445,-122.55481758653991
AB,GA,2389.3,51.056919,-113.990935,33.86,-84.47
AB,MB,772.3759,51.28491209328358,-114.00923047761194,49.83715205485074,-97.60518231119403
AB,NM,1507.6,51.056919,-113.990935,35.06,-106.62
AB,NV,1109.21,53.512020750000005,-113.38693325,40.95,-115.79
AB,ON,2155.893,51.54935706875,-114.21906565625,43.618143437499995,-79.8018545625
AB,QC,2309.2,53.654351,-113.628561,45.256167,-74.120357
AB,SK,373.16306,51.285766,-114.009299,50.56034734285715,-106.29013875238095
AB,TX,1732.8049,51.1713425,-114.00011699999999,32.845,-97.115
AB,YT,1370.53,51.285766,-114.009299,64.061669,-139.431399
AK,CA,3459.562,60.39344827586207,-147.0758620689655,34.09,-117.58000000000001
AK,GA,3562.36,61.190000000000005,-149.94,33.56,-84.58
AK,TX,3760.5273,61.22,-149.85,32.81,-96.88
AL,AL,99.70415,34.28728826728827,-86.67470862470863,33.79821807821808,-86.67386687386687
AL,AZ,1757.9025,34.801707317073166,-86.51146341463415,33.470975609756096,-112.37024390243903
AL,CA,1998.46,34.139333333333326,-86.676,34.226,-118.16066666666667
AL,FL,80.56115,30.857853403141362,-87.33366492146597,30.473612565445027,-86.4706282722513
AL,GA,221.84215,33.648601583113454,-86.82906596306069,33.524332453825856,-84.14737730870712
AL,IA,815.9667,33.85666666666667,-86.8,42.096666666666664,-92.59333333333332
AL,IL,718.02856,33.24095238095238,-86.50047619047619,41.64714285714286,-88.16904761904763
AL,IN,520.1,33.23866666666667,-86.97800000000001,39.75,-86.38866666666667
AL,KY,233.68571,34.74,-86.63,37.30571428571428,-86.09571428571428
AL,MD,678.9,34.74,-86.63,39.63,-77.71
AL,MI,684.2062,34.308106796116505,-86.75092233009708,42.2,-83.48
AL,MN,1131.6,34.64,-86.75,46.34,-94.28
AL,MO,650.7,34.66,-86.95,39.17,-94.31
AL,MS,286.67422,34.127878787878785,-86.61424242424242,32.88424242424242,-89.84424242424242
AL,NJ,987.7,32.376666666666665,-86.25333333333333,40.75666666666667,-74.07
AL,NM,1252.1,33.46,-86.86,35.13,-106.75
AL,NV,2004.6985,33.71269230769231,-86.72384615384615,40.95,-115.78999999999999
AL,OH,580.2,33.91,-86.50999999999999,40.45,-83.255
AL,SC,358.4,31.23,-85.4,34.86,-82.3
AL,TN,112.39166,34.430450097847356,-86.67504892367906,35.65131115459882,-86.64428571428572
AL,TX,715.448,33.583733333333335,-86.8712,32.189600000000006,-97.49333333333334
AL,WA,2461.2266,34.79333333333334,-86.54,47.797399999999996,-122.25899999999999
AL,WI,891.5208,34.19592775041051,-87.7148275862069,44.700607553366176,-90.36651888341544
AR,AL,332.64545,34.52,-90.60000000000001,32.73898395721925,-86.87620320855615
AR,AR,113.899704,34.833023887079264,-92.29255157437568,35.12129750271444,-92.75803474484256
AR,AZ,1462.6274,34.67098039215687,-90.7264705882353,33.354313725490194,-112.19274509803921
AR,CA,1885.3054,34.543076923076924,-91.22059171597633,36.16355029585799,-119.82828402366863
AR,CO,1084.5637,34.52,-90.6,40.013999999999996,-104.774125
AR,CT,1252.32,34.52,-90.6,41.54600000000001,-73.152
AR,DE,1085.325,34.502500000000005,-91.225,38.8125,-75.57249999999999
AR,FL,900.2662,34.52518382352941,-90.59749999999998,27.648161764705883,-81.37830882352942
AR,GA,519.0291,34.609072398190044,-91.14128959276017,33.04033936651584,-83.98393665158372
AR,IA,712.3381,34.721428571428575,-90.50285714285714,42.13047619047619,-93.36047619047619
AR,ID,1830.5264,34.59421052631579,-90.56421052631578,43.33105263157895,-114.77315789473684
AR,IL,506.31732,34.554756097560976,-90.72280487804878,40.488414634146345,-88.75743902439024
AR,IN,573.2527,34.60351145038168,-90.84702290076335,40.018091603053435,-85.78068702290076
AR,KS,591.1701,34.569813084112155,-90.61383177570093,38.15476635514019,-97.28252336448598
AR,KY,428.17776,34.62055555555556,-90.75666666666666,37.62055555555556,-85.63444444444445
AR,LA,374.87082,34.64566585956416,-91.69957627118643,30.610363196125906,-91.74487893462471
AR,MA,1321.2933,34.52,-90.6,42.16466666666667,-72.606
AR,MD,995.0,34.6221052631579,-90.8778947368421,39.072105263157894,-76.70526315789475
AR,ME,1770.1,34.52,-90.6,46.68,-68.16
AR,MI,834.6866,34.8709756097561,-91.91073170731707,42.60707317073171,-84.05317073170731
AR,MN,872.0315,34.71370370370371,-90.75129629629629,44.58759259259259,-93.70648148148148
AR,MO,413.22226,34.73427536231884,-90.52492753623187,38.44275362318841,-92.90971014492753
AR,MS,267.09628,34.66493036211699,-91.84811977715877,32.32821727019498,-89.77399721448468
AR,MT,1663.9143,34.52,-90.6,46.26063492063492,-108.87873015873015
AR,NC,816.8614,34.51161290322581,-90.8995391705069,35.57235023041475,-79.11576036866359
AR,ND,1382.585,34.52,-90.6,47.356,-101.4915
AR,NE,702.1955,34.47280898876405,-92.28539325842696,40.74044943820225,-97.6414606741573
AR,NJ,1099.8914,34.61000000000001,-90.82043478260869,39.96260869565217,-74.98739130434782
AR,NM,993.3137,34.58372549019608,-90.77098039215686,34.83529411764706,-106.61509803921568
AR,NV,1806.6261,34.49888888888889,-90.87888888888888,38.65222222222222,-117.58722222222224
AR,NY,1121.9769,34.52,-90.6,42.17846153846154,-75.88384615384615
AR,OH,667.7489,34.55971830985916,-90.58084507042253,40.24661971830986,-83.2743661971831
AR,OK,357.9544,34.66532758620689,-91.99068965517242,35.53877586206897,-97.18981034482758
AR,ON,1212.0,35.32,-93.08,43.825004,-79.063513
AR,OR,2358.254,34.52,-90.6,45.02616438356164,-122.86575342465754
AR,PA,998.5206,34.51831325301205,-90.66024096385541,40.36722891566265,-77.08048192771085
AR,RI,1341.9,34.52,-90.6,41.9,-71.53
AR,SC,669.2123,34.535566037735855,-90.67905660377357,34.38584905660377,-81.10877358490566
AR,SD,1218.249,34.558510638297875,-90.63765957446807,44.386382978723404,-102.51744680851063
AR,TN,153.88292,34.73322916666667,-90.56833333333333,35.48864583333334,-88.78010416666666
AR,TX,422.73355,34.752509264160935,-91.80208575966118,32.34617257808364,-97.07808893594495
AR,UT,1630.8,34.52,-90.6,41.69,-112.27
AR,VA,773.2073,34.52912698412698,-90.5992857142857,37.38492063492063,-79.04428571428572
AR,WA,2194.2058,34.64121621621622,-91.19472972972973,47.167162162162164,-119.61054054054054
AR,WI,798.3776,35.37864628820961,-92.54091703056768,44.56829694323144,-90.52772925764191
AR,WV,640.1175,34.52,-90.59999999999998,38.74666666666666,-82.16666666666667
AR,WY,1253.825,34.52,-90.6,42.027499999999996,-105.345
AZ,AB,1253.4293,33.42,-112.20000000000002,51.11403500000001,-113.95152299999998
AZ,AL,1694.1323,33.34057142857143,-112.43771428571429,33.586571428571425,-86.716
AZ,AR,1352.4532,33.0056,-113.5384,34.6807,-91.6323
AZ,AZ,46.506077,33.37577954176439,-112.10782969511095,33.39927403932889,-112.037586144687
AZ,BC,1641.6666,33.27,-111.94,49.126641000000006,-122.75719966666666
AZ,CA,558.8045,33.40271531554319,-112.2529720500822,36.10192108258505,-119.87484633868725
AZ,CO,902.1272,33.40286982248521,-112.24745562130177,39.76298816568047,-104.95295857988165
AZ,CT,2566.164,33.33136363636363,-112.44136363636363,41.732727272727274,-72.62
AZ,DC,2353.5,33.42,-112.2,38.93,-76.97
AZ,DE,2356.295,33.235,-112.7975,39.36,-75.64
AZ,FL,2158.7297,33.28143426294821,-112.6475298804781,27.67776892430279,-81.53872509960159
AZ,GA,1843.0433,33.297826086956526,-112.820395256917,33.546482213438736,-84.17549407114625
AZ,IA,1497.0809,33.243809523809524,-112.75904761904762,41.85666666666667,-92.79238095238095
AZ,ID,1023.41644,33.39844660194175,-112.26961165048544,43.705145631067964,-115.67757281553398
AZ,IL,1761.4833,33.2675,-112.21847826086957,41.62304347826087,-88.16815217391304
AZ,IN,1741.0447,33.375942028985506,-112.33833333333334,39.69304347826087,-86.3595652173913
AZ,KS,1132.7272,33.280781250000004,-112.4784375,38.29984375,-96.38109375
AZ,KY,1826.0331,33.38544303797469,-112.3060759493671,38.19227848101266,-84.82721518987343
AZ,LA,1442.6923,33.36666666666667,-112.37225225225225,30.56261261261261,-91.19018018018019
AZ,MA,2618.1558,33.23025641025641,-112.81282051282051,42.123333333333335,-71.3625641025641
AZ,MD,2284.8257,33.38950980392157,-112.30764705882353,39.459117647058825,-77.3606862745098
AZ,MI,2012.354,32.18065217391304,-111.49673913043479,42.42065217391305,-83.71010869565217
AZ,MN,1662.2468,33.30253968253968,-112.57936507936508,45.028571428571425,-93.21428571428571
AZ,MO,1353.6268,33.24604838709678,-112.83919354838709,38.947419354838715,-92.79370967741936
AZ,MS,1463.88,33.17333333333333,-112.99666666666667,33.22333333333333,-90.01777777777778
AZ,MT,1196.7059,33.36113636363637,-112.39011363636364,46.46119318181818,-110.99931818181818
AZ,NC,2115.4934,33.22504132231405,-112.82809917355372,35.44495867768595,-79.81644628099174
AZ,ND,1604.285,33.198,-112.917,47.589,-99.268
AZ,NE,1369.4381,33.28296296296296,-112.64259259259259,41.23148148148148,-96.6137037037037
AZ,NH,2526.4268,32.92666666666667,-113.79333333333334,43.120000000000005,-71.44833333333334
AZ,NJ,2435.3706,33.31111111111111,-112.60444444444445,40.60541666666667,-74.32041666666666
AZ,NM,469.8667,33.41116504854369,-112.19887378640776,34.450582524271844,-106.45333009708739
AZ,NV,338.51505,33.42082180797755,-112.19944076969333,36.5571637602726,-115.53297253958709
AZ,NY,2455.9175,33.362153846153845,-112.37969230769231,41.752307692307696,-74.68892307692307
AZ,OH,1917.6729,33.22526315789474,-112.83017543859648,40.15824561403509,-83.19175438596491
AZ,OK,1053.5687,33.36203125,-112.37109375,35.69734375,-96.894375
AZ,ON,2405.0,33.27,-111.94,44.551387000000005,-78.01871
AZ,OR,1261.9993,33.40592391304348,-112.24546195652174,44.675788043478256,-122.69157608695652
AZ,PA,2298.1836,33.29130434782609,-112.63847826086956,40.59021739130435,-76.63956521739131
AZ,RI,2488.9976,32.865,-113.9925,41.7425,-71.3725
AZ,SC,2074.6423,33.34184713375796,-112.46426751592357,34.61968152866242,-80.97388535031847
AZ,SD,1382.8041,33.272000000000006,-112.678,43.896,-100.12100000000001
AZ,TN,1656.8772,32.90086956521739,-112.04565217391306,35.537246376811595,-87.02579710144927
AZ,TX,731.5902,33.406684749849305,-112.23371308016878,31.678899939722722,-102.04996986136226
AZ,UT,505.31503,33.41915803108808,-112.20075129533679,38.182305699481866,-112.81310880829015
AZ,VA,2222.1978,33.326,-112.56505882352943,38.066941176470586,-78.54635294117648
AZ,VT,2645.7,33.42,-112.2,44.44,-73.21
AZ,WA,1473.1761,33.23818307905687,-112.05198335644937,47.33998613037448,-121.47674063800277
AZ,WI,1797.6147,33.453163265306124,-112.20928571428571,44.45908163265306,-90.35408163265306
AZ,WV,2113.1084,33.42,-112.2,38.909166666666664,-80.58833333333334
AZ,WY,1105.1246,33.363076923076925,-112.38384615384615,42.473846153846154,-105.55384615384615
BC,AB,653.0781,49.2480380375,-122.76224862250001,52.172694130500005,-113.8234921695
BC,BC,17.040571,49.24772965756824,-122.77561700992555,49.17247869379652,-122.87674590496277
BC,CA,1279.95,49.216455249999996,-123.11923425,33.9825,-118.38499999999999
BC,FL,3237.8,49.233664,-123.154725,28.58,-81.44
BC,GA,2790.0,49.233664,-123.154725,33.86,-84.47
BC,KS,1960.0,49.147983,-122.998937,37.77,-97.36
BC,KY,2500.1,49.233664,-123.154725,38.19,-85.75
BC,MB,1406.3,49.248581,-122.752671,49.895514,-97.200431
BC,NV,924.304,49.259568456,-122.77456496799999,40.95,-115.79
BC,NY,3001.9,49.233664,-123.154725,40.74,-73.98
BC,OK,2123.2,49.233664,-123.154725,35.61,-97.57
BC,ON,2664.1428,50.30065947857143,-122.31536605,43.65634692857143,-79.70111299999999
BC,QC,3010.3,49.1345934,-123.0005476,45.256167,-74.120357
BC,TX,2248.0,49.233664,-123.154725,32.81,-96.88
BC,WA,104.12727,49.149865590909094,-122.98246568181817,47.88636363636363,-122.25181818181818
CA,AB,1661.2152,33.49984385607604,-117.91542430414121,51.88603497289885,-113.8868303671419
CA,AK,3415.7488,34.35508928571429,-117.84964285714285,61.402901785714285,-148.59361607142858
CA,AL,2041.2874,34.256887804878055,-118.40766829268293,33.82018536585366,-86.79523902439024
CA,AR,1669.7599,34.456808100289294,-118.5194117647059,35.504802314368376,-92.62564127290261
CA,AZ,485.08115,35.331673145314696,-119.11723182532462,33.37648747001902,-112.13612025473493
CA,BC,1326.6628,33.49859835669406,-117.91257612373127,49.242495116442726,-122.75378016283229
CA,CA,92.00087,35.33848639445658,-119.27410190316878,35.59577719173964,-119.48374793877952
CA,CO,1088.32,34.6433926852743,-118.55048604427334,39.69966794995188,-104.89789701636188
CA,CT,2906.749,34.426620046620044,-118.5027738927739,41.58286713286713,-72.75657342657342
CA,DC,2671.5444,33.812444444444445,-118.21644444444443,38.91422222222222,-77.02066666666666
CA,DE,2750.6445,34.17309473684211,-118.38917894736842,39.3606947368421,-75.58711578947369
CA,FL,2534.08,33.868077603640046,-118.13598078867543,27.964416076845296,-81.6384479271992
CA,GA,2233.9607,33.809027593330384,-118.06269883429246,33.35241109635532,-83.89468496384832
CA,IA,1802.5381,34.24087340529932,-118.29499509322866,41.84989205103042,-92.49838076545633
