PU_APPT_YEAR,PU_APPT_MONTH,PU_APPT_WEEK,ORIGIN_COUNTRY,ORIGIN_STATE,WEEKLY_DISTANCE_TRAVELLED
2019,1,1,Canada,ON,9243.7
2019,1,1,United States,AL,4971.9
2019,1,1,United States,AZ,85375.94
2019,1,1,United States,CA,62809.74
2019,1,1,United States,CO,45202.6
2019,1,1,United States,CT,844.0
2019,1,1,United States,FL,11813.6
2019,1,1,United States,GA,89970.54
2019,1,1,United States,IA,498.80002
2019,1,1,United States,IL,281.8
2019,1,1,United States,IN,63643.2
2019,1,1,United States,KS,26460.4
2019,1,1,United States,KY,3683.6
2019,1,1,United States,LA,41.6
2019,1,1,United States,MA,2978.8
2019,1,1,United States,MD,32982.8
2019,1,1,United States,MI,9230.4
2019,1,1,United States,MN,2137.7
2019,1,1,United States,MO,9275.82
2019,1,1,United States,MS,2103.2
2019,1,1,United States,MT,1877.4
2019,1,1,United States,NC,12036.8
2019,1,1,United States,NE,323.6
2019,1,1,United States,NJ,8905.4
2019,1,1,United States,NM,5307.1
2019,1,1,United States,NV,50910.34
2019,1,1,United States,NY,10074.899
2019,1,1,United States,OH,26235.2
2019,1,1,United States,OK,2391.6
2019,1,1,United States,OR,1001.8
2019,1,1,United States,PA,63226.3
2019,1,1,United States,SC,20529.06
2019,1,1,United States,TN,142975.6
2019,1,1,United States,TX,69444.86
2019,1,1,United States,UT,3205.4
2019,1,1,United States,VA,10664.4
2019,1,1,United States,WA,70632.43
2019,1,1,United States,WI,8350.8
2019,1,1,United States,WV,24908.2
2019,1,2,Canada,BC,918.4
2019,1,2,Canada,ON,15304.6
2019,1,2,United States,AL,6079.2
2019,1,2,United States,AR,2971.0
2019,1,2,United States,AZ,118646.7
2019,1,2,United States,CA,170947.25
2019,1,2,United States,CO,73103.2
2019,1,2,United States,CT,8319.4
2019,1,2,United States,DC,106.0
2019,1,2,United States,DE,112.5
2019,1,2,United States,FL,22335.5
2019,1,2,United States,GA,145491.6
2019,1,2,United States,IA,8183.0
2019,1,2,United States,ID,2412.3
2019,1,2,United States,IL,11154.0
2019,1,2,United States,IN,118623.6
2019,1,2,United States,KS,64914.24
2019,1,2,United States,KY,6118.9
2019,1,2,United States,LA,5615.8
2019,1,2,United States,MA,11240.9
2019,1,2,United States,MD,61630.4
2019,1,2,United States,ME,361.3
2019,1,2,United States,MI,28069.08
2019,1,2,United States,MN,2028.2001
2019,1,2,United States,MO,48785.0
2019,1,2,United States,MS,14511.4
2019,1,2,United States,MT,5134.8
2019,1,2,United States,NC,20523.3
2019,1,2,United States,NE,1549.6
2019,1,2,United States,NJ,12531.8
2019,1,2,United States,NM,65192.3
2019,1,2,United States,NV,170542.03
2019,1,2,United States,NY,32279.6
2019,1,2,United States,OH,55465.6
2019,1,2,United States,OK,7009.0
2019,1,2,United States,OR,9270.9
2019,1,2,United States,PA,166471.25
2019,1,2,United States,SC,75449.28
2019,1,2,United States,SD,410.6
2019,1,2,United States,TN,244399.4
2019,1,2,United States,TX,113743.31
2019,1,2,United States,UT,4919.6
2019,1,2,United States,VA,59761.6
2019,1,2,United States,VT,1257.3
2019,1,2,United States,WA,221637.19
2019,1,2,United States,WI,32446.9
2019,1,2,United States,WV,50136.7
2019,1,2,United States,WY,1536.2001
2019,1,3,Canada,ON,13371.5
2019,1,3,Canada,QC,3870.7002
2019,1,3,United States,AL,8913.9
2019,1,3,United States,AR,6463.1
2019,1,3,United States,AZ,98440.24
2019,1,3,United States,CA,169609.1
2019,1,3,United States,CO,69744.2
2019,1,3,United States,CT,6649.6
2019,1,3,United States,DC,68.0
2019,1,3,United States,DE,112.5
2019,1,3,United States,FL,20949.5
2019,1,3,United States,GA,143398.4
2019,1,3,United States,IA,10227.4
2019,1,3,United States,ID,3057.9
2019,1,3,United States,IL,15307.1
2019,1,3,United States,IN,89232.1
2019,1,3,United States,KS,66012.54
2019,1,3,United States,KY,9966.5
2019,1,3,United States,LA,4272.9
2019,1,3,United States,MA,7469.4004
2019,1,3,United States,MD,59834.8
2019,1,3,United States,ME,1564.5
2019,1,3,United States,MI,28681.28
2019,1,3,United States,MN,11762.0
2019,1,3,United States,MO,65619.72
